spectrum_number,sample_name,dtime,channel_101,channel_102,channel_103,channel_104,channel_105,channel_106,channel_107
,bbwarm,12:56:00 PM,1274.31,1272.12,19.75,10.95,10.73,15.21,22.9
,042 - Dunite,01:02:00 PM,,,19.7,11.01,11.98,15.85,23.32
,033 - Anorthosite,01:08:00 PM,,,19.65,11.03,11.56,15.54,23.52
,037 - Basalt,01:13:00 PM,,,19.59,10.99,11.75,15.75,23.73
,028 - Hornblende Andesite,01:33:00 PM,,,19.44,10.95,11.96,17.19,24.11
,027 - Dacite,01:40:00 PM,,,19.39,11.03,12.25,15.61,24.19
,011 - Rhyolite,01:45:00 PM,,,19.37,11.01,11.8,15.46,24.23
,040 - Pyroxenite,01:49:00 PM,,,19.36,11.02,11.65,15.54,24.27
,bbhot,02:03:00 PM,1388.32,1384.35,19.49,11.01,12.51,17.43,24.4
