spectrum_number,sample_name,dtime,channel_101,channel_102,channel_103,channel_104,channel_105,channel_106,channel_107
,bbwarm,10:24:00 AM,1274.28,1271.86,18.98,11.02,11.95,16.64,22.73
,091 - Biotite Gneiss,10:30:00 AM,,,19.02,11.07,12.78,17.78,22.82
,098 - Epidosite,10:33:00 AM,,,19.02,11.1,12.28,16.78,22.89
,097 - Hornblende Gneiss,10:38:00 AM,,,19.06,11.08,11.11,16.14,22.95
,090 - Granitoid Gneiss,10:42:00 AM,,,19.1,11.04,13.2,15.91,23.02
,079 - Mica Schist,10:46:00 AM,,,19.11,11.05,12.37,15.72,23.09
,bbhot,10:52:00 AM,1388.69,1385.35,19.2,11.07,10.93,16.43,23.2
